State,Crop,Fertilizer Name,Type,"Toxicity Score (1=low,5=high)",Recommended Amount per Acre,Notes,Ideal pH,Ideal Temp (°C)
Tamil Nadu,Maize,Urea (46% N),Chemical,4,50 kg,Split application recommended,5.8–7.0,18–27°C
Tamil Nadu,Maize,DAP (18-46-0),Chemical,3,40 kg,Basal application,5.8–7.0,18–27°C
Tamil Nadu,Maize,NPK (20-20-0),Chemical,3,45 kg,Balanced nutrient supply,5.8–7.0,18–27°C
Tamil Nadu,Maize,NPK (19-19-19),Chemical,3,40 kg,Foliar application possible,5.8–7.0,18–27°C
Tamil Nadu,Maize,Compost,Organic,1,1000 kg,Improves soil structure,5.8–7.0,18–27°C
Tamil Nadu,Maize,Farmyard Manure (FYM),Organic,1,1500 kg,Adds organic matter,5.8–7.0,18–27°C
Tamil Nadu,Maize,Vermicompost,Organic,1,1200 kg,Boosts soil microbes,5.8–7.0,18–27°C
Tamil Nadu,Maize,Azospirillum Biofertilizer,Biofertilizer,1,5 kg,Nitrogen fixation,5.8–7.0,18–27°C
Tamil Nadu,Maize,Rhizobium Biofertilizer,Biofertilizer,1,5 kg,Legume nitrogen fixer,5.8–7.0,18–27°C
Tamil Nadu,Maize,Phosphate Solubilizing Bacteria (PSB),Biofertilizer,1,5 kg,Improves P uptake,5.8–7.0,18–27°C
Tamil Nadu,Maize,Gypsum,Soil Amendment,2,200 kg,Improves pod formation in groundnut,5.8–7.0,18–27°C
Tamil Nadu,Maize,Neem Cake,Organic,1,400 kg,Pest and nematode control,5.8–7.0,18–27°C
